Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
Study Characteristic,Study Characteristic,Study Characteristic,Study Characteristic,Study Characteristic,Study Characteristic,Cell Profile,Cell Profile,Cell Profile,Cell Profile,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Analysis Method,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Cell Profile,Cell Profile,Cell Profile,Protocol Variable,Measured Endpoint,Measured Endpoint,Analysis Method,Analysis Method,Analysis Method,Measured Endpoint,Measured Endpoint,Measured Endpoint,Analysis Method,Measured Endpoint,Measured Endpoint,Measured Endpoint,Analysis Method,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Analysis Method,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Analysis Method,Analysis Method,Analysis Method,Study Characteristic,Study Characteristic,Measured Endpoint,Measured Endpoint,Measured Endpoint,Study Characteristic,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Protocol Variable,Cell Profile,Cell Profile,Cell Profile,Cell Profile,Cell Profile,Cell Profile,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint,Measured Endpoint
"Abecasis, B. et al. Unveiling the molecular crosstalk in a human induced pluripotent stem cell-derived cardiac model. Biotechnol Bioeng 116, 12451252 (2019).", Unveiling the molecular crosstalk in a human induced pluripotent stem cell-derived cardiac model,,https://doi.org/10.1002/bit.26929,2019," Biotechnol Bioeng 116, 12451252 (2019)",DF19-9-11T.H,1,Male,,Matrigel,mTeSR-1,90,RPMI-1640,B27,CHIR99021,0-1,IWR1,3-Jun,,,Flow cytometry for cTnT+,97,,,,,,,Yes,,,,,ECM-coated plastic/glass,,,,,"RPMI,1640,B27,and,EGM2,without,supplements",,,Yes,,Yes,1.8,,,,,,,Dye,1.5,,270,,,,,,,,,,,,,,,,2D Only,90,,1,Q3,3,Q1,7,,,,,Q1,RPMI-1640,,,,,,,,,Q3,,,,,Q3,,Q2,,,,,,,,,
"Abilez, O. J. et al. Passive Stretch Induces Structural and Functional Maturation of Engineered Heart Muscle as Predicted by Computational Modeling. Stem Cells 36, 265277 (2018).", Passive Stretch Induces Structural and Functional Maturation of Engineered Heart Muscle as Predicted by Computational Modeling,,https://doi.org/10.1002/stem.2732,2018," Stem Cells 36, 265277 (2018)",IMR-90,1,Female,,Matrigel,E8,80,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,,,Flow cytometry for cTnT+,88,,Matrigel ,,,,Yes,Yes,,,,,,Collagen + matrigel,CM + SC,hLF,,,16,14,Yes,,,,,,Force transducer ,0.5,,,Dye,0.9,50,500,,,,,,,,,,PCR,,,,,,3D Only,,,2,Q2,2,Q2,7,,,,,Q3,RPMI-1640,75,Q3,0,Q2,25,Q1,Q2,Q2,,,Q2,,,Q4,Q2,Q1,,,,,,,,,
"Abulaiti, M. et al. Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function. Sci Rep 10, (2020).", Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function,,https://doi.org/10.1038/s41598-020-76062-w,2020," Sci Rep 10, (2020)","253G1, FF101-s04",2,"NaN, NaN","NaN, NaN",Matrigel,StemFit AK02N,100,RPMI-1640,"B27, VEGF","Activin A, BMP4, CHIR99021, bFGF",0-5,"XAV939, IWP4",5-Jul,,,Flow cytometry for cTnT+,37,,Matrigel,,,,,Yes (not pure),Flow,,,,,Scaffold free,CM + EC + SC,vascular mural cell,vascular endothelial cell,"MEM,FBS,mercaptoethanol,VEGF",,,Yes,,,,,,Motion tracking analysis,,,,Genetically encoded sensor ,,101,,,,,,,,,,,,isoproterenol,,,,,3D Only,,,5,Q1,2,Q2,,,,,,Q5,RPMI-1640,37,Q3,15,Q1,20,Q1,,,,,,,,,Q1,,,,,,,,,,
"Acun, A., Nguyen, T. D. & Zorlutuna, P. In vitro aged, hiPSC-origin engineered heart tissue models with age-dependent functional deterioration to study myocardial infarction. Acta Biomater 94, 372391 (2019)."," In vitro aged, hiPSC-origin engineered heart tissue models with age-dependent functional deterioration to study myocardial infarction",,https://doi.org/10.1016/j.actbio.2019.05.064,2019," Acta Biomater 94, 372391 (2019)","HVRDi007-A, Huv-iPS4F1",2,"Male, NaN","NaN, NaN",Geltrex,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,,,Flow cytometry for cTnT+,93,,,,,,,,,,,,ECM-coated plastic/glass,"GelMA, PEG, PEG/GelMA",CM,,,"RPMI,1640,B27",,,Yes,,,1.8,3116,,Nanoindenter,0.471,,18,Dye,,,,,,,,,,,,,PCR,isoproterenol,,,,,2D and 3D,,,1,Q3,2,Q2,8,,,,,Q2,RPMI-1640,,,,,,,,,Q3,Q1,Q2,,Q3,,,,,,,,,,,,
"Afzal, J. et al. Cardiac ultrastructure inspired matrix induces advanced metabolic and functional maturation of differentiated human cardiomyocytes. Cell Rep 40, (2022).", Cardiac ultrastructure inspired matrix induces advanced metabolic and functional maturation of differentiated human cardiomyocytes,,https://doi.org/10.1016/j.celrep.2022.111146,2022," Cell Rep 40, (2022)","WTC11, HF-YK27, PBY4-48D",3,"Male, NaN, NaN","Asian, NaN, NaN",Geltrex,E8,82.5,RPMI-1640,"B27, L-ascorbic acid, albumin",CHIR99021,0-2,IWR,4-May,No glucose with lactate,10-Dec,Flow cytometry for cTnT+,95,"RPMI-1640, B27, lipid-enhanced Cellastium S, L-ascorbic acid",Fibronectin,,,,,,,Yes,Yes,,Nanotopography,,,,,,,,Yes,TEM,,,,,TFM,,,,Genetically encoded sensor,1.1,25,,,,Patch clamp,,170,-65,,Seahorse,Yes,"RNA-seq, PCR","lidocaine, dofetilide, nifedipine, caffiene",,,,,2D Only,82.5,,2,Q2,1,Q3,10,,,2,Q2,Q2,"RPMI-1640, B27, lipid-enhanced Cellastium S, L-ascorbic acid",,,,,,,,,,,,,,Q3,Q5,,,,,Q1,Q4,,,,
"Ahrens, J. H. et al. Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks. Advanced Materials 34, (2022).", Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks,,https://doi.org/10.1002/adma.202200217,2022," Advanced Materials 34, (2022)",BJFF,1,,,Matrigel,mTeSR-1,EB,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,No glucose with lactate,9-Nov,Flow cytometry for cTnT+,73,"High-glucose DMEM, FBS",,,,,Yes,Yes,,,,,,Collagen + fibrin + gelatin,CM + SC,hDF,,"High,glucose,DMEM,FBS",150,20,Yes,,Yes,,,,Post deflection,0.3,0.07,,Dye,,,,,4.3,,,,,,,,Nanostring,isoproterenol,,,,,3D Only,,,2,Q2,2,Q2,7,,,2,Q2,Q5,"High-glucose DMEM, FBS",90,Q2,0,Q2,10,Q2,Q1,Q2,,,Q3,Q4,,,,,,Q3,,,,,,,
"Almeida, H. V. et al. Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation. ACS Appl Bio Mater 4, 18881899 (2021).", Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation,,https://doi.org/10.1021/acsabm.0c01490,2021," ACS Appl Bio Mater 4, 18881899 (2021)",DF19-9-11T.H,1,Male,,Matrigel,mTeSR-1,85,RPMI-1640,B27,"CHIR99021, Activin A",0-1,IWR1,1-Jun,,,"Flow cytometry for SIRPA+, Flow cytometry for cTnT+, Flow cytometry for VCAM1+",80,,,,,,,,,,,Yes,ECM-coated plastic/glass,Scaffold free,CM,,,"RPMI,1640,B27",,0.02,Yes,"SEM, TEM",Yes,1.75,,,Motion tracking analysis,,,,Dye,2,48,400,,,,,,,,,,PCR,norepinephine,,,,,2D and 3D,,,1,Q3,5,Q1,8,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,,Q5,Q4,,,,,Q2,Q2,Q1,,,,,,,,,
"Alvarez-Paino, M. et al. Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function. ACS Appl Mater Interfaces 11, 3456034574 (2019).", Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function,,https://doi.org/10.1021/acsami.9b04769,2019," ACS Appl Mater Interfaces 11, 3456034574 (2019)",REB,1,,,Matrigel ,E8,,RPMI-1640,B27,"Activin A, BMP4",0-2,"KY02111, XAV939",2-Jun,,,,,,,,,,,,,,,,CM-aggregates seeded on PLA-based microparticles,,CM,,,"RPMI,1640,B27",,2,,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,2,Q2,4,Q1,6,,,,,,RPMI-1640,100,Q1,0,Q2,0,Q3,,Q4,,,,,,,,,,,,,,,,,
"Amano, Y. et al. Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays. Acta Biomater 33, 110121 (2016).", Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays,,https://doi.org/10.1016/j.actbio.2016.01.033,2016," Acta Biomater 33, 110121 (2016)",253G1,1,,,EBs,mTeSR-1,EB,StemPro-34,"L-ascorbic acid, L-glutamine, 1-thioglycerol","Activin A, BMP4, bFGF",0-4,IWR1,4-Jun,,,Flow cytometry for cTnT+,53,,"Fibronectin, Gelatin",,,,,Yes,,,,,,Gelatin ,CM + EC + SC,hCF,CMVEC,DMEM,5,,Yes,,,,,,Motion tracking analysis,,,70,,,,,,,,,,,,,,,doxorubicin,,,,,3D Only,,,4,Q1,2,Q2,,,,,,Q5,StemPro-34,65,Q3,10,Q1,25,Q1,Q4,,,,,,Q1,,,,,,,,,,,,
