Protocol Variable,Analysis Method,Cell Profile
hiPSC Matrix Coating - Matrigel (163),Differentiation Purity Assessment - Flow Cytometry cTnT+ (135),Cell Line - iCell (47)
hiPSC Matrix Coating - Geltrex (33),Differentiation Purity Assessment - Flow Cytometry a-actinin+ (9),Cell Line - WTC11 (30)
hiPSC Matrix Coating - EBs (18),Differentiation Purity Assessment - IHC a-actinin (8),Cell Line - IMR90 (19)
hiPSC Matrix Coating - Vitronectin (10),Differentiation Purity Assessment - IHC cTnT (7),Cell Line - Cor.4U (16)
hiPSC Matrix Coating - MEF feeder cells (8),Differentiation Purity Assessment - Visual Inspection (6),Cell Line - DF19-9-11T.H (16)
hiPSC Backbone Media - Embryonic Stem Cell (127),Differentiation Purity Assessment - Flow Cytometry SIRPA+ (4),Cell Line - PGP1 (11)
hiPSC Backbone Media - mTeSR (106),Differentiation Purity Assessment - Flow Cytometry VCAM1+ (4),Cell Line - 253G1 (10)
hiPSC Backbone Media - Essential 8 (82),Differentiation Purity Assessment - Flow Cytometry cTnI+ (3),Cell Line - Gibco episomal (10)
hiPSC Backbone Media - Conditioned (12),Immunofluorescent Imaging - Yes (268),Cell Line - 201B7 (9)
hiPSC Backbone Media - DMEM/F12 (10),Electron Imaging - Transmission (62),Cell Line - iCell2 (8)
hiPSC Backbone Media - StemFit (5),Electron Imaging - Scanning (22),Cell Line - SCVI-273 (8)
hiPSC Backbone Media - StemFlex (5),Sacromere or Cellular Alignment Analysis - Yes (72),Cell Line - BJ1 (7)
hiPSC-CM Backbone Media - RPMI-1640 (167),Contractile Analysis Method - Motion Tracking (93),Cell Line - C25 (6)
hiPSC-CM Backbone Media - iCell Maintenance (86),Contractile Analysis Method - Deflection (39),Cell Line - ATCC (5)
hiPSC-CM Backbone Media - DMEM (18),Contractile Analysis Method - Force Transducer (27),Cell Line - Cellapy (4)
hiPSC-CM Backbone Media - StemPro-34 (14),Contractile Analysis Method - Traction Force Microscopy (9),Cell Line - BJ RiPS (4)
hiPSC-CM Backbone Media - Commercial CM Kit (12),Calcium Handling Analysis Method - Visual (104),Cell Line - 201B6 (3)
hiPSC-CM Backbone Media - Cor.4U Complete (6),Calcium Handling Analysis Method - Genetical (23),Number of Cell Lines - 1 (225)
hiPSC-CM Media Supplement - B27 (180),Electrophysiology Analysis Method - Patch Clamp (59),Number of Cell Lines - 2 (50)
hiPSC-CM Media Supplement - Ascorbic Acid (41),Electrophysiology Analysis Method - Optical Mapping (39),Number of Cell Lines - 3 (29)
hiPSC-CM Media Supplement - iCell Maintenance Medium (41),Electrophysiology Analysis Method - Microelectrode (31),Number of Cell Lines - 4 (11)
hiPSC-CM Media Supplement - Albumin (28),Electrophysiology Analysis Method - Motion-Contrast Reconstruction (5),Number of Cell Lines - >5 (9)
hiPSC-CM Media Supplement - L-glutamine (19),Electrophysiology Analysis Method - Genetical (3),Cell Line Sex - Both (118)
hiPSC-CM Media Supplement - HEPES (16),Metabolic Analysis Method - Seahorse (35),Cell Line Sex - Male (64)
hiPSC-CM Media Supplement - FBS (16),Metabolic Analysis Method - Flux Rates (13),Cell Line Sex - Female (40)
hiPSC-CM Media Supplement - 1-thioglycerol (14),Metabolic Analysis Method - Mitochondrial (4),Cell Line Ancestry - Caucasian (41)
hiPSC-CM Media Supplement - Transferrin (11),Metabolic Analysis Method - Genetic (3),Cell Line Ancestry - Asian (28)
hiPSC-CM Media Supplement - Mercaptoethanol (10),Fatty Acid Metabolism Assessed - Yes (20),Cell Coculture - Cardiomyocyte (157)
hiPSC-CM Media Supplement - Lipids (9),Gene Analysis Method - RNA (169),Cell Coculture - Stromal Cell (78)
hiPSC-CM Media Supplement - GlutaMax (8),,Cell Coculture - Endothelial Cell (35)
hiPSC-CM Media Supplement - Nonessential Amino Acids (8),,3D CM Ratio (CM-EC-SC) Quantiles - Q1 (>91 and ≤100) (74)
hiPSC-CM Media Supplement - Selenium (7),,3D CM Ratio (CM-EC-SC) Quantiles - Q3 (>9 and ≤75) (48)
hiPSC-CM Media Supplement - Polyvinylalchohol (6),,3D CM Ratio (CM-EC-SC) Quantiles - Q2 (>75 and ≤91) (28)
hiPSC-CM Media Supplement - Lipid Mix (5),,3D EC Ratio (CM-EC-SC) Quantiles - Q2 (>0 and ≤0) (119)
hiPSC-CM Media Supplement - VEGF (4),,3D EC Ratio (CM-EC-SC) Quantiles - Q1 (>0 and ≤91) (31)
