Protocol Variable,Analysis Method,Cell Profile,Study Characteristic,Measured Endpoint
hiPSC Matrix Coating - Matrigel (163),Differentiation Purity Assessment - Flow Cytometry cTnT+ (135),Cell Line - iCell (47),Publication Year - Late-2010s (196),3D Estimated Cell Density (mil cells/mL) Quantiles - Q3 (>5 and ≤10) (30)
hiPSC Matrix Coating - Geltrex (33),Differentiation Purity Assessment - Flow Cytometry a-actinin+ (9),Cell Line - WTC11 (30),Publication Year - Post 2020 (122),3D Estimated Cell Density (mil cells/mL) Quantiles - Q4 (>0.47 and ≤5) (25)
hiPSC Matrix Coating - EBs (18),Differentiation Purity Assessment - IHC a-actinin (8),Cell Line - IMR90 (19),Publication Year - 2019 (57),3D Estimated Cell Density (mil cells/mL) Quantiles - Q1 (>21 and ≤150) (24)
hiPSC Matrix Coating - Vitronectin (10),Differentiation Purity Assessment - IHC cTnT (7),Cell Line - Cor.4U (16),Publication Year - 2020 (51),3D Estimated Cell Density (mil cells/mL) Quantiles - Q5 (>0.01 and ≤0.47) (24)
hiPSC Matrix Coating - MEF feeder cells (8),Differentiation Purity Assessment - Visual Inspection (6),Cell Line - DF19-9-11T.H (16),Publication Year - 2018 (45),3D Estimated Cell Density (mil cells/mL) Quantiles - Q2 (>10 and ≤21) (17)
hiPSC Backbone Media - Embryonic Stem Cell (127),Differentiation Purity Assessment - Flow Cytometry SIRPA+ (4),Cell Line - PGP1 (11),Publication Year - 2017 (43),3D Estimated Tissue Size (mm2) Quantiles - Q4 (>0.13 and ≤2) (31)
hiPSC Backbone Media - mTeSR (106),Differentiation Purity Assessment - Flow Cytometry VCAM1+ (4),Cell Line - 253G1 (10),Publication Year - 2021 (43),3D Estimated Tissue Size (mm2) Quantiles - Q5 (>0.01 and ≤0.13) (28)
hiPSC Backbone Media - Essential 8 (82),Differentiation Purity Assessment - Flow Cytometry cTnI+ (3),Cell Line - Gibco episomal (10),Publication Year - 2016 (32),3D Estimated Tissue Size (mm2) Quantiles - Q1 (>26.2 and ≤3500) (27)
hiPSC Backbone Media - Conditioned (12),Immunofluorescent Imaging - Yes (268),Cell Line - 201B7 (9),Publication Year - 2022 (20),3D Estimated Tissue Size (mm2) Quantiles - Q2 (>9.12 and ≤26.2) (26)
hiPSC Backbone Media - DMEM/F12 (10),Electron Imaging - Transmission (62),Cell Line - iCell2 (8),Publication Year - 2015 (19),3D Estimated Tissue Size (mm2) Quantiles - Q3 (>2 and ≤9.12) (21)
hiPSC Backbone Media - StemFit (5),Electron Imaging - Scanning (22),Cell Line - SCVI-273 (8),Publication Year - 2024 (7),Sarcomere Length (um) Quantiles - Q2 (>1.88 and ≤1.95) (14)
hiPSC Backbone Media - StemFlex (5),Sacromere or Cellular Alignment Analysis - Yes (72),Cell Line - BJ1 (7),Publication Year - 2014 (3),Sarcomere Length (um) Quantiles - Q4 (>1.64 and ≤1.75) (14)
hiPSC-CM Backbone Media - RPMI-1640 (167),Contractile Analysis Method - Motion Tracking (93),Cell Line - C25 (6),Journal - Sci Rep (24),Sarcomere Length (um) Quantiles - Q5 (>1.01 and ≤1.64) (14)
hiPSC-CM Backbone Media - iCell Maintenance (86),Contractile Analysis Method - Deflection (39),Cell Line - ATCC (5),Journal - Stem Cell Reports (23),Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13)
hiPSC-CM Backbone Media - DMEM (18),Contractile Analysis Method - Force Transducer (27),Cell Line - Cellapy (4),Journal - Biomaterials (16),Sarcomere Length (um) Quantiles - Q3 (>1.75 and ≤1.88) (13)
