Target Label,Prioritised Features,Entropy Value,Entropy Conf,Gini Index Value,Gini Index Conf,Category,Best Conf,Significant,PlotSig
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Action Potential Amplitude (mV) Quantiles - Q1 (>110 and ≤170) (10),0.03388,0,0.03356,0,Best Maturity,0,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Component Category - Signaling Pathway Regulators (6),0.02676,0.00080008,0.03274,0.00020002,Best Maturity,0.00020002,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),T-tubule Structure (Found) Quantiles - Q1 (Yes) (18),0.01956,0.00270027,0.01503,0.00420042,Best Maturity,0.00270027,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Contraction Upstroke Velocity (um/s) Quantiles - Q1 (>50 and ≤1300) (8),0.01758,0.00110011,0.01239,0.0060006,Best Maturity,0.00110011,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Electrophysiology Analysis Method - Patch Clamp (59),0.01529,0.00790079,0.00955,0.02770277,Best Maturity,0.00790079,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Analysis Method - Seahorse (35),0.01498,0.00470047,0.01072,0.01560156,Best Maturity,0.00470047,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Journal - Tissue Eng Part C Methods (6),0.01243,0.01350135,0.01248,0.01490149,Best Maturity,0.01350135,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Electron Imaging - Transmission (62),0.01089,0.03110311,0.00714,0.104610461,Best Maturity,0.03110311,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),MYL2 Precentage (MYL7) Quantiles - Q1 (>30.1 and ≤45.7) (4),0.01059,0.01210121,0.00747,0.055905591,Best Maturity,0.01210121,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Media Supplement - Rare (5),0.01052,0.01280128,0.0157,0.00590059,Best Maturity,0.00590059,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Journal - Biosens Bioelectron (4),0.01042,0.01060106,0.0124,0.010001,Best Maturity,0.010001,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Wnt Inhibitor - IWP (112),0.0102,0.04680468,0.0056,0.330933093,Best Maturity,0.04680468,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Maturation Media - DMEM (35),0.00907,0.04010401,0.00637,0.099209921,Best Maturity,0.04010401,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Insulin Start Day - 6 (20),0.00906,0.03620362,0.00721,0.067306731,Best Maturity,0.03620362,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Cell Line - Cellapy (4),0.009,0.01730173,0.0063,0.070907091,Best Maturity,0.01730173,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC Backbone Media - Rare (19),0.00897,0.03230323,0.00474,0.157915792,Best Maturity,0.03230323,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Seeding Confluency 3D (%) - 85 to 89 (12),0.00893,0.03330333,0.00514,0.107210721,Best Maturity,0.03330333,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Wnt Induction - Rare (4),0.00864,0.0180018,0.00475,0.111811181,Best Maturity,0.0180018,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Component - Palmitic Acid (11),0.00853,0.03710371,0.00928,0.03050305,Best Maturity,0.03050305,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Coating for Replating - Geltrex (10),0.00839,0.0360036,0.00745,0.04580458,Best Maturity,0.0360036,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Publication Year - 2019 (57),0.00829,0.074507451,0.01058,0.01790179,Best Maturity,0.01790179,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Component Category - Kinase Inhibitors (3),0.00819,0.02660266,0.01086,0.01510151,Best Maturity,0.01510151,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Insulin Withdrawal Duration (days) - 6 days (3),0.00795,0.04430443,0.00685,0.079907991,Best Maturity,0.04430443,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Pharmacological Intervention - Caffeine (4),0.00788,0.03030303,0.00613,0.080708071,Best Maturity,0.03030303,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Time from Calcium Peak to Relaxation (ms) Quantiles - Q2 (>1000 and ≤310) (6),0.00761,0.03740374,0.00812,0.03540354,Best Maturity,0.03540354,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Conduction Velocity from Calcium Imaging (cm/s) Quantiles - Q2 (>8.53 and ≤17) (4),0.00753,0.040004,0.00939,0.02570257,Best Maturity,0.02570257,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Purification Duration (days) - 6 days (10),0.00722,0.040004,0.00582,0.070507051,Best Maturity,0.040004,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Publication Year - 2021 (43),0.00713,0.095709571,0.00874,0.03920392,Best Maturity,0.03920392,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Calcium Handling Analysis Method - Visual (104),0.00707,0.169216922,0.00902,0.02720272,Best Maturity,0.02720272,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Media Supplement - GlutaMax (8),0.00682,0.053105311,0.01068,0.02050205,Best Maturity,0.02050205,TRUE,TRUE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Resting Membrane Potential (mV) Quantiles - Q2 (<-74 and ≥-78) (8),0.00669,0.04360436,0.00795,0.030003,Best Maturity,0.030003,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),3D SC Ratio (CM-EC-SC) Quantiles - Q1 (>10 and ≤50) (47),0.00647,0.127312731,0.00872,0.04710471,Best Maturity,0.04710471,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Pharmacological Intervention - Blebbistatin (5),0.00639,0.03610361,0.00369,0.130213021,Best Maturity,0.03610361,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Insulin Start Day - 3 (5),0.00546,0.104010401,0.00812,0.04360436,Best Maturity,0.04360436,TRUE,FALSE
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),TNNI3 Precentage (TNNI1) Quantiles - Q2 (>6.5 and ≤16.15) (4),0.00398,0.119711971,0.01174,0.01020102,Best Maturity,0.01020102,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Action Potential Amplitude (mV) Quantiles - Q1 (>110 and ≤170) (10),0.03136,0.00020002,0.02608,0.00040004,Best Maturity,0.00020002,TRUE,TRUE
