Target Label,Prioritised Features,Entropy Value,Entropy Conf,Gini Index Value,Gini Index Conf,Category,Best Conf,Significant,PlotSig
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Component Category - Signaling Pathway Regulators (6),0.0327,0.0001000100010001,0.02374,0.0004000400040004,Best Maturation,0.0001000100010001,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Action Potential Amplitude (mV) Quantiles - Q1 (>110 and ≤170) (10),0.01864,0.0017001700170017,0.02186,0.0008000800080008,Best Maturation,0.0008000800080008,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Electrophysiology Analysis Method - Patch Clamp (59),0.01689,0.0062006200620062,0.01343,0.004000400040004,Best Maturation,0.004000400040004,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),T-tubule Structures - Yes (18),0.01473,0.0065006500650065,0.0114,0.012001200120012,Best Maturation,0.0065006500650065,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Contraction Upstroke Velocity (um/s) Quantiles - Q1 (>50 and ≤1300) (8),0.01287,0.0081008100810081,0.01316,0.0077007700770077,Best Maturation,0.0077007700770077,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Journal - Tissue Eng Part C Methods (6),0.0117,0.0136013601360136,0.01399,0.0069006900690069,Best Maturation,0.0069006900690069,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),MYL2 Precentage (MYL7) Quantiles - Q1 (>30.1 and ≤45.7) (4),0.01153,0.0084008400840084,0.01037,0.0162016201620162,Best Maturation,0.0084008400840084,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Calcium Handling Analysis Method - Seahorse (35),0.01096,0.0237023702370237,0.00704,0.0935093509350935,Best Maturation,0.0237023702370237,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Media Supplement - Rare (5),0.01092,0.0121012101210121,0.00977,0.0192019201920192,Best Maturation,0.0121012101210121,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Publication Year - 2019 (57),0.01088,0.0324032403240324,0.00663,0.1243124312431243,Best Maturation,0.0324032403240324,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Cell Line - Cellapy (4),0.00999,0.0138013801380138,0.00378,0.1399139913991399,Best Maturation,0.0138013801380138,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),TNNI3 Precentage (TTNI1) Quantiles - Q2 (>6.5 and ≤16.15) (4),0.00972,0.0167016701670167,0.00813,0.0401040104010401,Best Maturation,0.0167016701670167,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Time to Calcium Flux Peak (ms) Quantiles - Q4 (<365 and ≥254) (11),0.00964,0.0307030703070307,0.00454,0.1455145514551455,Best Maturation,0.0307030703070307,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),3D Tissue Media - RPMI-1640 (72),0.00957,0.0476047604760476,0.00996,0.0199019901990199,Best Maturation,0.0199019901990199,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Component - Palmitic Acid (11),0.0092,0.0281028102810281,0.01023,0.0216021602160216,Best Maturation,0.0216021602160216,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Media Supplement - GlutaMax (8),0.0092,0.0309030903090309,0.01184,0.0152015201520152,Best Maturation,0.0152015201520152,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Insulin Start Day - 6 (20),0.00913,0.0333033303330333,0.01116,0.0165016501650165,Best Maturation,0.0165016501650165,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),3D Platform - Collagen (38),0.00902,0.0492049204920492,0.00516,0.1819181918191819,Best Maturation,0.0492049204920492,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Journal - Biosens Bioelectron (4),0.00901,0.0157015701570157,0.01088,0.011001100110011,Best Maturation,0.011001100110011,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Wnt Inhibitor - IWP (112),0.00884,0.0904090409040904,0.00975,0.0201020102010201,Best Maturation,0.0201020102010201,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),3D SC Ratio (CM-EC-SC) Quantiles - Q1 (>10 and ≤50) (47),0.00881,0.0535053505350535,0.01089,0.0177017701770177,Best Maturation,0.0177017701770177,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Action Potential Conduction Velocity (cm/s) Quantiles - Q1 (>28.5 and ≤41) (7),0.00839,0.0284028402840284,0.01254,0.0108010801080108,Best Maturation,0.0108010801080108,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Calcium Flux Amplitude (F/F0) Quantiles - Q1 (>2.3 and ≤8) (10),0.00787,0.0444044404440444,0.00494,0.109010901090109,Best Maturation,0.0444044404440444,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Pharmacological Intervention - Caffeine (4),0.00784,0.0265026502650265,0.00885,0.026002600260026,Best Maturation,0.026002600260026,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Resting Membrane Potential (mV) Quantiles - Q2 (<-74 and ≥-78) (8),0.00771,0.0292029202920292,0.00924,0.019001900190019,Best Maturation,0.019001900190019,True,True
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Contractile Force (mN) Quantiles - Q5 (>0 and ≤0.04) (10),0.00741,0.0488048804880488,0.00554,0.0879087908790879,Best Maturation,0.0488048804880488,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Journal - Nat Commun (13),0.007,0.0522052205220522,0.00773,0.0415041504150415,Best Maturation,0.0415041504150415,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),Metabolic Component Category - Kinase Inhibitors (3),0.00685,0.0403040304030403,0.00755,0.0444044404440444,Best Maturation,0.0403040304030403,True,False
Sarcomere Length (um) Quantiles - Q1 (>1.95 and ≤2.5) (13),hiPSC-CM Purification Duration (days) - 6 days (10),0.00645,0.0481048104810481,0.00473,0.1066106610661066,Best Maturation,0.0481048104810481,True,False
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Action Potential Amplitude (mV) Quantiles - Q1 (>110 and ≤170) (10),0.0271,0.0,0.02625,0.0,Best Maturation,0.0,True,True
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Number of Cell Lines - 2 (50),0.01976,0.0049004900490049,0.00893,0.0762076207620762,Best Maturation,0.0049004900490049,True,True
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Resting Membrane Potential (mV) Quantiles - Q1 (<-78 and ≥-85) (12),0.01704,0.0052005200520052,0.01235,0.0133013301330133,Best Maturation,0.0052005200520052,True,True
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Coating for Replating - Rare (6),0.01521,0.0053005300530053,0.01223,0.0104010401040104,Best Maturation,0.0053005300530053,True,True
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Journal - Acta Biomater (10),0.01506,0.0092009200920092,0.01242,0.0162016201620162,Best Maturation,0.0092009200920092,True,True
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),MYL2 Precentage (MYL7) Quantiles - Q1 (>30.1 and ≤45.7) (4),0.01459,0.0061006100610061,0.01733,0.0055005500550055,Best Maturation,0.0055005500550055,True,True
